pais,anio,variante,n,libro,libro_es,libro_dif_pct,importado_pct,dom_mult_medio,dom_mult_mediano,dom_mult_max,dom_mult_pond,dom_directo_medio,dom_indirecto_medio,dom_a_max,dom_ci_sobre_vbp,dom_claves,dom_z_suma,tot_mult_medio,tot_mult_mediano,tot_mult_max,tot_mult_pond,tot_directo_medio,tot_indirecto_medio,tot_a_max,tot_ci_sobre_vbp,tot_claves,tot_z_suma,dif_mult_medio_pct,dif_mult_pond_pct,dif_directo_medio_pct,dif_indirecto_medio_pct,dif_ci_sobre_vbp_pct,ras_dom,ras_tot,min_dA,min_dL,celdas_dA_neg_pct,min_dcol_A,min_dmult,spearman_mult,spearman_fl,top10_comun,cambian_tipo,check_Lf_x_dom,check_Lf_x_tot,sector_max_gap,sector_max_gap_nombre,max_gap_pct,libro_z
Brasil,2012,COU n68 · prorrateo,68,MIP_Brasil_2012_LIBRO.xlsx,doméstica,3.469224907348689e-10,10.043833551931225,1.8335866882415284,1.8566675769386984,2.54962438438063,1.7601351328926023,0.4531951257009544,0.38039156254057405,0.8339610375467075,0.4157243300498348,11,3418914.395983861,2.1087453777680225,2.133264542635466,3.2761248714575517,1.9853369859401313,0.5109095532113607,0.5978358245566617,0.9947294836079481,0.46214100318495704,13,3800644.8373470674,15.006581978972623,12.794577463915102,12.735006234045375,57.163271594094375,11.165252976547734,False,False,0.0,0.0,0.0,0.0,0.0,0.9562163606519829,0.9770584418063136,7,7,2.831113977635072e-17,2.831113977635072e-17,2091,Fabricação de químicos orgânicos e inorgânic,49.40416460671927,3418914.395972
Brasil,2013,COU n68 · prorrateo,68,MIP_Brasil_2013_LIBRO.xlsx,doméstica,9.769962616701378e-11,10.729139038289937,1.830746693431483,1.854261988144469,2.518706215985314,1.7527043612303304,0.4525977678460124,0.378148925585471,0.8099185989384705,0.4119366689365784,12,3751129.0861433353,2.121250770468163,2.130708175279948,3.280240880060924,1.9923385507729825,0.5130645016994839,0.6081862687686789,0.9937427318987978,0.46144583405918493,14,4201963.603501331,15.868065094913252,13.672253852009497,13.359927544769533,60.83247303348844,12.018635109716103,False,False,0.0,0.0,0.0,0.0,0.0,0.9527808527694008,0.9750734816963772,7,9,2.5568696136699584e-17,2.5568696136699584e-17,2091,Fabricação de químicos orgânicos e inorgânic,52.20275983742842,3751129.086147
Brasil,2014,COU n68 · prorrateo,68,MIP_Brasil_2014_LIBRO.xlsx,doméstica,5.878408870785279e-10,10.553409731109442,1.8400900443465837,1.8602163228969837,2.5223071897345783,1.7566370323494531,0.45526751637094387,0.38482252797564004,0.8113769790178679,0.41212043844467616,10,4075193.610217044,2.1320377876168415,2.1317701489347036,3.258510753425864,1.9945065327630591,0.5158246470300873,0.6162131405867545,0.9617426285229911,0.46074471615494467,14,4556007.778459044,15.865948743499047,13.54118671262794,13.3014389302053,60.12917534437119,11.7985601232917,False,False,0.0,0.0,0.0,0.0,0.0,0.9591556285070809,0.9741573462610221,6,10,4.709188133070242e-17,2.354594066535121e-17,2091,Fabricação de químicos orgânicos e inorgânic,50.710836867834196,4075193.610241
Brasil,2015,MIP n67 · sin prorrateo,67,MIP_Brasil_2015_LIBRO.xlsx,doméstica,2.687849942617504e-10,13.054436950884906,1.8118490058991994,1.816747636327015,2.510686015532622,1.7262257657489266,0.4477649476358601,0.3640840582633393,0.7996504805891897,0.40016282123876534,11,4092532.0,2.1768601021916063,2.193966152401052,3.102196137553399,2.005200444451687,0.5303047545412549,0.6465553476503516,0.8203719885157904,0.4602452468019736,11,4707005.0,20.145778986216143,16.16096134341538,18.43373567788058,77.58408614054258,15.01449469423819,False,False,0.0,0.0,0.0,0.0,0.0,0.8955622954744992,0.9432915635725118,4,10,2.27658982838424e-17,2.27658982838424e-17,2600,"Fabricação de equipamentos de informática, p",79.43880116456394,4092532.000011
Brasil,2016,COU n68 · prorrateo,68,MIP_Brasil_2016_LIBRO.xlsx,doméstica,7.949640945525971e-10,9.691639609816871,1.8370215618746186,1.855857936648917,2.492698240678118,1.7335599948184761,0.46013072665223775,0.37689083522238076,0.7919604408517559,0.4052214904397942,12,4271881.01692896,2.099493954395601,2.1192041745326735,2.89754465221802,1.9321784416830283,0.5209501322240149,0.578543822171586,0.8355153955885055,0.44870872274616486,16,4730327.290266395,14.287932050897556,11.457258327269471,13.217853546595215,53.50434876725561,10.731719154177433,False,False,0.0,0.0,0.0,0.0,0.0,0.9387716150704278,0.9709890445470855,7,11,3.312872481733027e-17,3.312872481733027e-17,2600,"Fabricação de equipamentos de informática, p",46.15006569048424,4271881.016895
Brasil,2017,COU n68 · prorrateo,68,MIP_Brasil_2017_LIBRO.xlsx,doméstica,1.1118883591620943e-10,9.683393900583559,1.8379635890426111,1.8707278368827738,2.4515926351986144,1.73129268175077,0.45970339414372996,0.3782601948988812,0.7730218853616928,0.40355072635970723,14,4447543.451079945,2.0989008480476623,2.1463850813062213,2.9296942977489584,1.9322539313730882,0.5181973683729354,0.5807034796747267,0.8144554873277264,0.4468178597361119,16,4924391.696233902,14.197085326427628,11.607583844176839,12.724285914433953,53.51958453623804,10.721609589630177,False,False,0.0,0.0,0.0,0.0,0.0,0.940985609039203,0.9673626751154712,5,7,2.1126038766974224e-17,1.5844529075230668e-17,2600,"Fabricação de equipamentos de informática, p",49.353663689390984,4447543.451075
Brasil,2018,COU n68 · prorrateo,68,MIP_Brasil_2018_LIBRO.xlsx,doméstica,3.1024072200125374e-10,10.796457753312815,1.8453513690289218,1.8791030597725438,2.51670295313944,1.7564203337023578,0.457276724963185,0.38807464406573683,0.791971393780158,0.41109371551578083,13,4937239.634281683,2.1593519253469378,2.1575095064689807,3.1193895693177076,2.004736516041166,0.5226032712676992,0.6367486540792391,0.8149729784504038,0.46084909316596995,13,5534802.217414231,17.01575979447494,14.137628537662316,14.285998551484024,64.07891208975221,12.1031715573086,False,False,0.0,0.0,0.0,0.0,0.0,0.9257930297362292,0.9643852349505667,5,12,1.938638216403397e-17,2.907957324605096e-17,2600,"Fabricação de equipamentos de informática, p",59.33742060745655,4937239.634297
Brasil,2019,COU n68 · prorrateo,68,MIP_Brasil_2019_LIBRO.xlsx,doméstica,1.2615464228815654e-10,11.097473033089544,1.8472463163955084,1.8817174048212366,2.539353757223937,1.757094601882337,0.4589470315838394,0.38829928481166864,0.8275837560243284,0.41199539509780236,12,5249559.217298622,2.1729538301358566,2.20637452357448,3.0958268359405716,2.0134809126828386,0.5269758796603123,0.6459779504755441,0.84443270770358,0.4634237171359,14,5904848.148188757,17.632056475061454,14.591491575117278,14.82281034517281,66.36083962628302,12.48274195537773,False,False,0.0,0.0,0.0,0.0,0.0,0.9213650417986792,0.9652250257663091,6,14,1.827299189367253e-17,3.654598378734506e-17,2600,"Fabricação de equipamentos de informática, p",62.19985210121669,5249559.217292
Brasil,2020,COU n68 · prorrateo,68,MIP_Brasil_2020_LIBRO.xlsx,doméstica,2.550959443681222e-10,11.54775733716984,1.8479469692280617,1.8638661793794338,2.5518192108145197,1.7666185930792935,0.45779443695359445,0.3901525322744672,0.7915735415738808,0.4151428550225077,13,5524052.3195000915,2.1991011155482934,2.2134675846764087,3.1211876879631606,2.040559144458256,0.5312370565032801,0.6678640590450132,0.8534039111383189,0.4693412428274824,14,6245237.150805941,19.002393043070853,15.506490900306446,16.042706861711032,71.18024459602368,13.055358450535358,False,False,0.0,0.0,0.0,0.0,0.0,0.9001030652364773,0.9612169332366299,5,13,3.499531595745016e-17,2.624648696808762e-17,2600,"Fabricação de equipamentos de informática, p",73.20411652421421,5524052.319486
Brasil,2021,COU n68 · prorrateo,68,MIP_Brasil_2021_LIBRO.xlsx,doméstica,1.3322676295501878e-13,12.322256028846045,1.8933084073294788,1.929219495712958,2.65735884329543,1.8305409991854185,0.4685592482770649,0.424749159052414,0.817967820025778,0.43631041564085027,12,7234972.175995992,2.2975625539857365,2.285177383382395,3.2823553565011263,2.1697473619816736,0.5446121377495757,0.7529504162361613,0.840591712961963,0.4976296102969948,15,8251777.302089687,21.351732506510146,18.530388718264177,16.23122150553302,77.26943071904877,14.054029529888545,False,False,0.0,0.0,0.0,0.0,0.0,0.8818567011489864,0.9600335916326296,4,11,1.4041026341965416e-17,2.1061539512948122e-17,2600,"Fabricação de equipamentos de informática, p",88.45897844854413,7234972.175996001
